,,,,,,,PDV,PDV,PDV,PNRSV,PNRSV,PNRSV,PLMVd,PLMVd,PLMVd
Sample Name ,Location,Cultivar,Block,Tree Number,Row,Tree,Y1,Y2,Y3,Y1,Y2,Y3,Y1,Y2,Y3
GK - Lawson 127,South Georgia,Gulf King,Lawson,127,2,3,-,-,-,-,-,-,-,-,-
GK - Lawson 128,South Georgia,Gulf King,Lawson,128,2,5,-,-,-,-,-,-,-,-,-
GK - Lawson 129,South Georgia,Gulf King,Lawson,129,2,6,-,-,-,-,-,-,-,-,-
GK - Lawson 130,South Georgia,Gulf King,Lawson,130,2,7,-,-,-,-,-,-,-,-,-
GK - Lawson 131,South Georgia,Gulf King,Lawson,131,2,8,-,-,-,-,-,-,-,-,-
GK - Lawson 132,South Georgia,Gulf King,Lawson,132,2,9,-,-,-,-,-,-,-,-,-
GK - Lawson 133,South Georgia,Gulf King,Lawson,133,2,10,-,-,-,-,-,-,-,-,-
GK - Lawson 134,South Georgia,Gulf King,Lawson,134,2,11,-,-,-,-,-,-,-,-,-
GK - Lawson 135,South Georgia,Gulf King,Lawson,135,2,12,-,-,-,-,-,-,-,-,-
GK - Lawson 136,South Georgia,Gulf King,Lawson,136,2,13,-,-,-,-,-,-,-,-,-
GK - Lawson 137,South Georgia,Gulf King,Lawson,137,1,14,-,-,-,-,-,-,-,-,-
GK - Lawson 138,South Georgia,Gulf King,Lawson,138,1,13,-,-,-,-,-,-,-,-,-
GK - Lawson 139,South Georgia,Gulf King,Lawson,139,1,12,-,-,-,-,-,-,-,-,-
GK - Lawson 140,South Georgia,Gulf King,Lawson,140,1,11,-,-,-,-,-,-,-,-,-
GK - Lawson 141,South Georgia,Gulf King,Lawson,141,1,10,-,-,-,-,-,-,-,-,-
GK - Lawson 142,South Georgia,Gulf King,Lawson,142,1,9,-,-,-,-,-,-,-,-,-
GK - Lawson 143,South Georgia,Gulf King,Lawson,143,1,8,-,-,-,-,-,-,-,-,-
GK - Lawson 144,South Georgia,Gulf King,Lawson,144,1,7,-,-,-,-,-,-,-,-,-
GK - Lawson 145,South Georgia,Gulf King,Lawson,145,1,6,-,-,-,-,-,-,-,-,-
GK - Lawson 146,South Georgia,Gulf King,Lawson,146,1,5,-,-,-,-,-,-,-,-,-
GK - Lawson 147,South Georgia,Gulf King,Lawson,147,1,4,-,-,-,-,-,-,-,-,-
GK - Lawson 148,South Georgia,Gulf King,Lawson,148,1,3,-,-,-,-,-,-,-,-,-
GK - Lawson 149,South Georgia,Gulf King,Lawson,149,1,2,-,-,-,-,-,-,-,-,-
GK - Lawson 150,South Georgia,Gulf King,Lawson,150,1,1,-,-,-,-,-,-,-,-,-
HV-N-5 1001,Edgefield,Harvester ,N-5,1001,7,1,-,-,-,-,-,-,-,-,-
HV-N-5 1002,Edgefield,Harvester ,N-5,1002,7,2,-,-,-,-,-,-,-,-,-
HV-N-5 1003,Edgefield,Harvester ,N-5,1003,7,3,-,-,-,-,-,-,-,-,-
HV-N-5 1004,Edgefield,Harvester ,N-5,1004,7,4,-,-,-,-,-,-,-,-,-
HV-N-5 1005,Edgefield,Harvester ,N-5,1005,7,5,-,-,-,-,-,-,-,-,-
HV-N-5 1006,Edgefield,Harvester ,N-5,1006,7,6,-,-,-,-,-,-,-,-,-
HV-N-5 1007,Edgefield,Harvester ,N-5,1007,7,7,-,-,-,-,-,-,-,-,-
HV-N-5 1008,Edgefield,Harvester ,N-5,1008,7,8,-,-,-,-,-,-,-,-,-
HV-N-5 1009,Edgefield,Harvester ,N-5,1009,7,9,-,-,-,-,-,-,-,-,-
HV-N-5 1010,Edgefield,Harvester ,N-5,1010,7,10,-,-,-,-,-,-,-,-,-
HV-N-5 1011,Edgefield,Harvester ,N-5,1011,7,11,-,-,-,-,-,-,-,-,-
HV-N-5 1012,Edgefield,Harvester ,N-5,1012,7,12,-,-,-,-,-,-,-,-,-
HV-N-5 1014,Edgefield,Harvester ,N-5,1014,7,14,-,-,-,-,-,-,-,-,-
HV-N-5 1015,Edgefield,Harvester ,N-5,1015,7,15,-,-,-,-,-,-,-,-,-
HV-N-5 1016,Edgefield,Harvester ,N-5,1016,6,15,-,-,-,-,-,-,-,-,-
HV-N-5 1017,Edgefield,Harvester ,N-5,1017,6,14,-,-,-,-,-,-,-,-,-
HV-N-5 1018,Edgefield,Harvester ,N-5,1018,6,13,-,-,-,-,-,-,-,-,-
HV-N-5 1019,Edgefield,Harvester ,N-5,1019,6,12,-,-,-,-,-,-,-,-,-
HV-N-5 1020,Edgefield,Harvester ,N-5,1020,6,11,-,-,-,-,-,-,-,-,-
HV-N-5 1021,Edgefield,Harvester ,N-5,1021,6,10,-,-,-,-,-,-,-,-,-
HV-N-5 1022,Edgefield,Harvester ,N-5,1022,6,9,-,-,-,-,-,-,-,-,-
HV-N-5 1023,Edgefield,Harvester ,N-5,1023,6,8,-,-,-,-,-,-,-,-,-
HV-N-5 1024,Edgefield,Harvester ,N-5,1024,6,7,-,-,-,-,-,-,-,-,-
HV-N-5 1025,Edgefield,Harvester ,N-5,1025,6,6,-,-,-,-,-,-,-,-,-
HV-N-5 1026,Edgefield,Harvester ,N-5,1026,6,5,-,-,-,-,-,-,-,-,-
HV-N-5 1027,Edgefield,Harvester ,N-5,1027,6,4,-,-,-,-,-,-,-,-,-
HV-N-5 1028,Edgefield,Harvester ,N-5,1028,6,3,-,-,-,-,-,-,-,-,-
HV-N-5 1029,Edgefield,Harvester ,N-5,1029,6,2,-,-,-,-,-,-,-,-,-
HV-N-5 1031,Edgefield,Harvester ,N-5,1031,5,1,-,-,-,-,-,-,-,-,-
HV-N-5 1032,Edgefield,Harvester ,N-5,1032,5,2,-,-,-,-,-,-,-,-,-
HV-N-5 1033,Edgefield,Harvester ,N-5,1033,5,3,-,-,-,-,-,-,-,-,-
HV-N-5 1034,Edgefield,Harvester ,N-5,1034,5,4,-,-,-,-,-,-,-,-,-
HV-N-5 1035,Edgefield,Harvester ,N-5,1035,5,5,-,-,-,-,-,-,-,-,-
HV-N-5 1036,Edgefield,Harvester ,N-5,1036,5,6,-,-,-,-,-,-,-,-,-
HV-N-5 1037,Edgefield,Harvester ,N-5,1037,5,7,-,-,-,-,-,-,-,-,-
HV-N-5 1038,Edgefield,Harvester ,N-5,1038,5,8,-,-,-,-,-,-,-,-,-
HV-N-5 1039,Edgefield,Harvester ,N-5,1039,5,9,-,-,-,-,-,-,-,-,-
HV-N-5 1040,Edgefield,Harvester ,N-5,1040,5,10,-,-,-,-,-,-,-,-,-
HV-N-5 1041,Edgefield,Harvester ,N-5,1041,5,11,-,-,-,-,-,-,-,-,-
HV-N-5 1042,Edgefield,Harvester ,N-5,1042,5,12,-,-,-,-,-,-,-,-,-
HV-N-5 1043,Edgefield,Harvester ,N-5,1043,5,13,-,-,-,-,-,-,-,-,-
HV-N-5 1044,Edgefield,Harvester ,N-5,1044,5,14,-,-,-,-,-,-,-,-,-
HV-N-5 1045,Edgefield,Harvester ,N-5,1045,5,15,-,-,-,-,-,-,-,-,-
HV-N-5 1046,Edgefield,Harvester ,N-5,1046,4,15,-,-,-,-,-,-,-,-,-
HV-N-5 1047,Edgefield,Harvester ,N-5,1047,4,14,-,-,-,-,-,-,-,-,-
HV-N-5 1048,Edgefield,Harvester ,N-5,1048,4,13,-,-,-,-,-,-,-,-,-
HV-N-5 1049,Edgefield,Harvester ,N-5,1049,4,12,-,-,-,-,-,-,-,-,-
HV-N-5 1050,Edgefield,Harvester ,N-5,1050,4,11,-,-,-,-,-,-,-,-,-
HV-N-5 1051,Edgefield,Harvester ,N-5,1051,4,10,-,-,-,-,-,-,-,-,-
HV-N-5 1052,Edgefield,Harvester ,N-5,1052,4,9,-,-,-,-,-,-,-,-,-
HV-N-5 1053,Edgefield,Harvester ,N-5,1053,4,8,-,-,-,-,-,-,-,-,-
HV-N-5 1054,Edgefield,Harvester ,N-5,1054,4,7,-,-,-,-,-,-,-,-,-
HV-N-5 1057,Edgefield,Harvester ,N-5,1057,4,4,-,-,-,-,-,-,-,-,-
HV-N-5 1058,Edgefield,Harvester ,N-5,1058,4,3,-,-,-,-,-,-,-,-,-
HV-N-5 1059,Edgefield,Harvester ,N-5,1059,4,2,-,-,-,-,-,-,-,-,-
HV-N-5 1060,Edgefield,Harvester ,N-5,1060,4,1,-,-,-,-,-,-,-,-,-
HV-N-5 1061,Edgefield,Harvester ,N-5,1061,3,1,-,-,-,-,-,-,-,-,-
HV-N-5 1062,Edgefield,Harvester ,N-5,1062,3,2,-,-,-,-,-,-,-,-,-
HV-N-5 1063,Edgefield,Harvester ,N-5,1063,3,3,-,-,-,-,-,-,-,-,-
HV-N-5 1064,Edgefield,Harvester ,N-5,1064,3,4,-,-,-,-,-,-,-,-,-
HV-N-5 1065,Edgefield,Harvester ,N-5,1065,3,5,-,-,-,-,-,-,-,-,-
HV-N-5 1066,Edgefield,Harvester ,N-5,1066,3,6,-,-,-,-,-,-,-,-,-
HV-N-5 1068,Edgefield,Harvester ,N-5,1068,3,8,-,-,-,-,-,-,-,-,-
HV-N-5 1069,Edgefield,Harvester ,N-5,1069,3,9,-,-,-,-,-,-,-,-,-
HV-N-5 1070,Edgefield,Harvester ,N-5,1070,3,10,-,-,-,-,-,-,-,-,-
HV-N-5 1071,Edgefield,Harvester ,N-5,1071,3,11,-,-,-,-,-,-,-,-,-
HV-N-5 1073,Edgefield,Harvester ,N-5,1073,3,13,-,-,-,-,-,-,-,-,-
HV-N-5 1075,Edgefield,Harvester ,N-5,1075,3,15,-,-,-,-,-,-,-,-,-
HV-N-5 1076,Edgefield,Harvester ,N-5,1076,2,15,-,-,-,-,-,-,-,-,-
HV-N-5 1077,Edgefield,Harvester ,N-5,1077,2,14,-,-,-,-,-,-,-,-,-
HV-N-5 1078,Edgefield,Harvester ,N-5,1078,2,13,-,-,-,-,-,-,-,-,-
HV-N-5 1080,Edgefield,Harvester ,N-5,1080,2,11,-,-,-,-,-,-,-,-,-
HV-N-5 1081,Edgefield,Harvester ,N-5,1081,2,10,-,-,-,-,-,-,-,-,-
HV-N-5 1082,Edgefield,Harvester ,N-5,1082,2,9,-,-,-,-,-,-,-,-,-
HV-N-5 1083,Edgefield,Harvester ,N-5,1083,2,8,-,-,-,-,-,-,-,-,-
HV-N-5 1084,Edgefield,Harvester ,N-5,1084,2,7,-,-,-,-,-,-,-,-,-
HV-N-5 1085,Edgefield,Harvester ,N-5,1085,2,6,-,-,-,-,-,-,-,-,-
HV-N-5 1086,Edgefield,Harvester ,N-5,1086,2,5,-,-,-,-,-,-,-,-,-
HV-N-5 1087,Edgefield,Harvester ,N-5,1087,2,4,-,-,-,-,-,-,-,-,-
HV-N-5 1088,Edgefield,Harvester ,N-5,1088,2,3,-,-,-,-,-,-,-,-,-
HV-N-5 1090,Edgefield,Harvester ,N-5,1090,2,1,-,-,-,-,-,-,-,-,-
HV-N-5 1091,Edgefield,Harvester ,N-5,1091,1,1,-,-,-,-,-,-,-,-,-
HV-N-5 1092,Edgefield,Harvester ,N-5,1092,1,2,-,-,-,-,-,-,-,-,-
HV-N-5 1093,Edgefield,Harvester ,N-5,1093,1,3,-,-,-,-,-,-,-,-,-
HV-N-5 1094,Edgefield,Harvester ,N-5,1094,1,4,-,-,-,-,-,-,-,-,-
HV-N-5 1095,Edgefield,Harvester ,N-5,1095,1,5,-,-,-,-,-,-,-,-,-
HV-N-5 1096,Edgefield,Harvester ,N-5,1096,1,6,-,-,-,-,-,-,-,-,-
HV-N-5 1097,Edgefield,Harvester ,N-5,1097,1,7,-,-,-,-,-,-,-,-,-
HV-N-5 1098,Edgefield,Harvester ,N-5,1098,1,8,-,-,-,-,-,-,-,-,-
HV-N-5 1099,Edgefield,Harvester ,N-5,1099,1,9,-,-,-,-,-,-,-,-,-
HV-N-5 1100,Edgefield,Harvester ,N-5,1100,1,10,-,-,-,-,-,-,-,-,-
JLP FAR-1 5201,Edgefield,Julyprince,FAR-1,5201,1,1,-,-,-,-,-,-,-,-,-
JLP FAR-1 5202,Edgefield,Julyprince,FAR-1,5202,1,2,-,-,-,-,-,-,-,-,-
JLP FAR-1 5203,Edgefield,Julyprince,FAR-1,5203,1,3,-,-,-,-,-,-,-,-,-
JLP FAR-1 5204,Edgefield,Julyprince,FAR-1,5204,1,4,-,-,-,-,-,-,-,-,-
JLP FAR-1 5205,Edgefield,Julyprince,FAR-1,5205,1,5,-,-,-,-,-,-,-,-,-
JLP FAR-1 5206,Edgefield,Julyprince,FAR-1,5206,1,6,-,-,-,-,-,-,-,-,-
JLP FAR-1 5208,Edgefield,Julyprince,FAR-1,5208,1,8,-,-,-,-,-,-,-,-,-
JLP FAR-1 5209,Edgefield,Julyprince,FAR-1,5209,1,9,-,-,-,-,-,-,-,-,-
JLP FAR-1 5210,Edgefield,Julyprince,FAR-1,5210,1,10,-,-,-,-,-,-,-,-,-
JLP FAR-1 5214,Edgefield,Julyprince,FAR-1,5214,2,8,-,-,-,-,-,-,-,-,-
JLP FAR-1 5216,Edgefield,Julyprince,FAR-1,5216,2,6,-,-,-,-,-,-,-,-,-
JLP FAR-1 5217,Edgefield,Julyprince,FAR-1,5217,2,5,-,-,-,-,-,-,-,-,-
JLP FAR-1 5219,Edgefield,Julyprince,FAR-1,5219,2,3,-,-,-,-,-,-,-,-,-
JLP FAR-1 5221,Edgefield,Julyprince,FAR-1,5221,3,2,-,-,-,-,-,-,-,-,-
JLP FAR-1 5222,Edgefield,Julyprince,FAR-1,5222,3,3,-,-,-,-,-,-,-,-,-
JLP FAR-1 5223,Edgefield,Julyprince,FAR-1,5223,3,4,-,-,-,-,-,-,-,-,-
JLP FAR-1 5224,Edgefield,Julyprince,FAR-1,5224,3,5,-,-,-,-,-,-,-,-,-
JLP FAR-1 5227,Edgefield,Julyprince,FAR-1,5227,3,8,-,-,-,-,-,-,-,-,-
JLP FAR-1 5230,Edgefield,Julyprince,FAR-1,5230,3,11,-,-,-,-,-,-,-,-,-
JLP FAR-1 5231,Edgefield,Julyprince,FAR-1,5231,4,13,-,-,-,-,-,-,-,-,-
JLP FAR-1 5232,Edgefield,Julyprince,FAR-1,5232,4,12,-,-,-,-,-,-,-,-,-
JLP FAR-1 5233,Edgefield,Julyprince,FAR-1,5233,4,11,-,-,-,-,-,-,-,-,-
JLP FAR-1 5236,Edgefield,Julyprince,FAR-1,5236,4,8,-,-,-,-,-,-,-,-,-
JLP FAR-1 5237,Edgefield,Julyprince,FAR-1,5237,4,7,-,-,-,-,-,-,-,-,-
JLP FAR-1 5238,Edgefield,Julyprince,FAR-1,5238,4,6,-,-,-,-,-,-,-,-,-
JLP FAR-1 5239,Edgefield,Julyprince,FAR-1,5239,4,5,-,-,-,-,-,-,-,-,-
JLP FAR-1 5240,Edgefield,Julyprince,FAR-1,5240,5,5,-,-,-,-,-,-,-,-,-
JLP FAR-1 5243,Edgefield,Julyprince,FAR-1,5243,5,8,-,-,-,-,-,-,-,-,-
JLP FAR-1 5245,Edgefield,Julyprince,FAR-1,5245,5,10,-,-,-,-,-,-,-,-,-
JLP FAR-1 5246,Edgefield,Julyprince,FAR-1,5246,5,11,-,-,-,-,-,-,-,-,-
JLP FAR-1 5248,Edgefield,Julyprince,FAR-1,5248,5,13,-,-,-,-,-,-,-,-,-
JLP FAR-1 5249,Edgefield,Julyprince,FAR-1,5249,5,14,-,-,-,-,-,-,-,-,-
JLP FAR-1 5250,Edgefield,Julyprince,FAR-1,5250,5,15,-,-,-,-,-,-,-,-,-
JLP FAR-1 3251,Edgefield,Julyprince,FAR-1,5251,6,5,-,-,-,-,-,-,-,-,-
JLP FAR-1 3255,Edgefield,Julyprince,FAR-1,5255,6,9,-,-,-,-,-,-,-,-,-
JLP FAR-1 3256,Edgefield,Julyprince,FAR-1,5256,6,10,-,-,-,-,-,-,-,-,-
JLP FAR-1 3258,Edgefield,Julyprince,FAR-1,5258,6,12,-,-,-,-,-,-,-,-,-
JLP FAR-1 3259,Edgefield,Julyprince,FAR-1,5259,6,13,-,-,-,-,-,-,-,-,-
JLP FAR-1 3261,Edgefield,Julyprince,FAR-1,5261,7,14,-,-,-,-,-,-,-,-,-
JLP FAR-1 3262,Edgefield,Julyprince,FAR-1,5262,7,13,-,-,-,-,-,-,-,-,-
JLP FAR-1 3263,Edgefield,Julyprince,FAR-1,5263,7,12,-,-,-,-,-,-,-,-,-
JLP FAR-1 3265,Edgefield,Julyprince,FAR-1,5265,7,10,-,-,-,-,-,-,-,-,-
JLP FAR-1 3266,Edgefield,Julyprince,FAR-1,5266,7,9,-,-,-,-,-,-,-,-,-
JLP FAR-1 3268,Edgefield,Julyprince,FAR-1,5268,7,7,-,-,-,-,-,-,-,-,-
JLP FAR-1 3270,Edgefield,Julyprince,FAR-1,5270,7,5,-,-,-,-,-,-,-,-,-
JLP FAR-1 3272,Edgefield,Julyprince,FAR-1,5272,8,6,-,-,-,-,-,-,-,-,-
JLP FAR-1 3273,Edgefield,Julyprince,FAR-1,5273,8,7,-,-,-,-,-,-,-,-,-
JLP FAR-1 3274,Edgefield,Julyprince,FAR-1,5274,8,8,-,-,-,-,-,-,-,-,-
JLP FAR-1 3275,Edgefield,Julyprince,FAR-1,5275,8,9,-,-,-,-,-,-,-,-,-
JLP FAR-1 3276,Edgefield,Julyprince,FAR-1,5276,8,10,-,-,-,-,-,-,-,-,-
JLP FAR-1 3277,Edgefield,Julyprince,FAR-1,5277,8,11,-,-,-,-,-,-,-,-,-
JLP FAR-1 3278,Edgefield,Julyprince,FAR-1,5278,8,12,-,-,-,-,-,-,-,-,-
JLP FAR-1 3279,Edgefield,Julyprince,FAR-1,5279,8,13,-,-,-,-,-,-,-,-,-
JLP FAR-1 3281,Edgefield,Julyprince,FAR-1,5281,9,14,-,-,-,-,-,-,-,-,-
JLP FAR-1 3283,Edgefield,Julyprince,FAR-1,5283,9,12,-,-,-,-,-,-,-,-,-
JLP FAR-1 3284,Edgefield,Julyprince,FAR-1,5284,9,11,-,-,-,-,-,-,-,-,-
JLP FAR-1 3285,Edgefield,Julyprince,FAR-1,5285,9,10,-,-,-,-,-,-,-,-,-
JLP FAR-1 3286,Edgefield,Julyprince,FAR-1,5286,9,9,-,-,-,-,-,-,-,-,-
JLP FAR-1 3287,Edgefield,Julyprince,FAR-1,5287,9,8,-,-,-,-,-,-,-,-,-
JLP FAR-1 3288,Edgefield,Julyprince,FAR-1,5288,9,7,-,-,-,-,-,-,-,-,-
JLP FAR-1 3289,Edgefield,Julyprince,FAR-1,5289,9,6,-,-,-,-,-,-,-,-,-
JLP FAR-1 3290,Edgefield,Julyprince,FAR-1,5290,9,5,-,-,-,-,-,-,-,-,-
JLP FAR-1 3291,Edgefield,Julyprince,FAR-1,5291,10,5,-,-,-,-,-,-,-,-,-
JLP FAR-1 3292,Edgefield,Julyprince,FAR-1,5292,10,6,-,-,-,-,-,-,-,-,-
JLP FAR-1 3293,Edgefield,Julyprince,FAR-1,5293,10,7,-,-,-,-,-,-,-,-,-
JLP FAR-1 3294,Edgefield,Julyprince,FAR-1,5294,10,8,-,-,-,-,-,-,-,-,-
JLP FAR-1 3295,Edgefield,Julyprince,FAR-1,5295,10,9,-,-,-,-,-,-,-,-,-
JLP FAR-1 3296,Edgefield,Julyprince,FAR-1,5296,10,10,-,-,-,-,-,-,-,-,-
JLP FAR-1 3297,Edgefield,Julyprince,FAR-1,5297,10,11,-,-,-,-,-,-,-,-,-
JLP FAR-1 3298,Edgefield,Julyprince,FAR-1,5298,10,12,-,-,-,-,-,-,-,-,-
JLP FAR-1 3301,Edgefield,Julyprince,FAR-1,5301,11,14,-,-,-,-,-,-,-,-,-
JLP FAR-1 3303,Edgefield,Julyprince,FAR-1,5303,11,12,-,-,-,-,-,-,-,-,-
JLP FAR-1 3306,Edgefield,Julyprince,FAR-1,5306,11,9,-,-,-,-,-,-,-,-,-
JLP FAR-1 3307,Edgefield,Julyprince,FAR-1,5307,11,8,-,-,-,-,-,-,-,-,-
JLP FAR-1 3308,Edgefield,Julyprince,FAR-1,5308,11,7,-,-,-,-,-,-,-,-,-
JLP FAR-1 3309,Edgefield,Julyprince,FAR-1,5309,11,6,-,-,-,-,-,-,-,-,-
JLP FAR-1 3310,Edgefield,Julyprince,FAR-1,5310,11,5,-,-,-,-,-,-,-,-,-
JLP- Lane 6851,South Georgia,Julyprince,Lane,6851,5,1,-,-,-,-,-,-,-,-,-
JLP- Lane 6852,South Georgia,Julyprince,Lane,6852,5,2,-,-,-,-,-,-,-,-,-
JLP- Lane 6853,South Georgia,Julyprince,Lane,6853,5,3,-,-,-,-,-,-,-,-,-
JLP- Lane 6854,South Georgia,Julyprince,Lane,6854,5,4,-,-,-,-,-,-,-,-,-
JLP- Lane 6855,South Georgia,Julyprince,Lane,6855,5,5,-,-,-,-,-,-,-,+,+
JLP- Lane 6856,South Georgia,Julyprince,Lane,6856,5,6,-,-,-,-,-,-,-,-,-
JLP- Lane 6857,South Georgia,Julyprince,Lane,6857,5,7,-,-,-,-,-,-,-,-,-
JLP- Lane 6858,South Georgia,Julyprince,Lane,6858,5,8,-,-,-,-,-,-,-,-,-
JLP- Lane 6859,South Georgia,Julyprince,Lane,6859,5,9,-,-,-,-,-,-,-,-,-
JLP- Lane 6861,South Georgia,Julyprince,Lane,6861,4,10,-,-,-,-,-,-,-,-,-
JLP- Lane 6862,South Georgia,Julyprince,Lane,6862,4,9,-,-,-,-,-,-,-,-,-
JLP- Lane 6863,South Georgia,Julyprince,Lane,6863,4,8,-,-,-,-,-,-,-,-,-
JLP- Lane 6864,South Georgia,Julyprince,Lane,6864,4,7,-,-,-,-,-,-,-,-,-
JLP- Lane 6865,South Georgia,Julyprince,Lane,6865,4,6,-,-,-,-,-,-,-,-,-
JLP- Lane 6866,South Georgia,Julyprince,Lane,6866,4,5,-,-,-,-,-,-,-,-,-
JLP- Lane 6867,South Georgia,Julyprince,Lane,6867,4,4,-,-,-,-,-,-,-,-,-
JLP- Lane 6868,South Georgia,Julyprince,Lane,6868,4,3,-,-,-,-,-,-,-,-,-
JLP- Lane 6869,South Georgia,Julyprince,Lane,6869,4,2,-,-,-,-,-,-,-,-,-
JLP- Lane 6871,South Georgia,Julyprince,Lane,6871,3,1,-,-,-,-,-,-,-,-,-
JLP- Lane 6872,South Georgia,Julyprince,Lane,6872,3,2,-,-,-,-,-,-,-,-,-
JLP- Lane 6873,South Georgia,Julyprince,Lane,6873,3,3,-,-,-,-,-,-,-,-,-
JLP- Lane 6875,South Georgia,Julyprince,Lane,6875,3,5,-,-,-,-,-,-,-,-,-
JLP- Lane 6876,South Georgia,Julyprince,Lane,6876,3,6,-,-,-,-,-,-,+,+,+
JLP- Lane 6877,South Georgia,Julyprince,Lane,6877,3,7,-,-,-,-,-,-,-,-,-
JLP- Lane 6878,South Georgia,Julyprince,Lane,6878,3,8,-,-,-,-,-,-,-,-,-
JLP- Lane 6879,South Georgia,Julyprince,Lane,6879,3,9,-,-,-,-,-,-,-,-,-
JLP- Lane 6881,South Georgia,Julyprince,Lane,6881,2,10,-,-,-,-,-,-,+,+,+
JLP- Lane 6883,South Georgia,Julyprince,Lane,6883,2,8,-,-,-,-,-,-,-,-,-
JLP- Lane 6885,South Georgia,Julyprince,Lane,6885,2,6,-,-,-,-,-,-,-,-,-
JLP- Lane 6886,South Georgia,Julyprince,Lane,6886,2,5,-,-,-,-,-,-,-,-,-
JLP- Lane 6887,South Georgia,Julyprince,Lane,6887,2,4,-,-,-,-,-,-,-,-,-
JLP- Lane 6888,South Georgia,Julyprince,Lane,6888,2,2,-,-,-,-,-,-,-,-,-
JLP- Lane 6890,South Georgia,Julyprince,Lane,6890,2,3,-,-,-,-,-,-,-,-,-
JLP- Lane 6891,South Georgia,Julyprince,Lane,6891,1,1,-,-,-,-,-,-,-,-,-
JLP- Lane 6892,South Georgia,Julyprince,Lane,6892,1,2,-,-,-,-,-,-,-,-,-
JLP- Lane 6893,South Georgia,Julyprince,Lane,6893,1,3,-,-,-,-,-,-,-,-,-
JLP- Lane 6894,South Georgia,Julyprince,Lane,6894,1,4,-,-,-,-,-,-,+,+,+
JLP- Lane 6895,South Georgia,Julyprince,Lane,6895,1,5,-,-,-,-,-,-,-,-,-
JLP- Lane 6897,South Georgia,Julyprince,Lane,6897,1,7,-,-,-,-,-,-,-,-,-
JLP- Lane 6898,South Georgia,Julyprince,Lane,6898,1,8,-,-,-,-,-,-,-,-,-
JF WRW-2 5701,Edgefield,June Flame,WRW-2,5701,1,1,-,-,-,-,-,-,-,-,-
JF WRW-2 5702,Edgefield,June Flame,WRW-2,5702,1,2,-,-,-,-,-,-,-,-,-
JF WRW-2 5703,Edgefield,June Flame,WRW-2,5703,1,3,-,-,-,-,-,-,-,-,-
JF WRW-2 5704,Edgefield,June Flame,WRW-2,5704,1,4,-,-,-,-,-,-,-,-,-
JF WRW-2 5705,Edgefield,June Flame,WRW-2,5705,1,5,-,-,-,-,-,-,-,-,-
JF WRW-2 5706,Edgefield,June Flame,WRW-2,5706,1,6,-,-,-,-,-,-,-,-,+
JF WRW-2 5707,Edgefield,June Flame,WRW-2,5707,1,7,-,-,-,-,-,-,-,-,-
JF WRW-2 5708,Edgefield,June Flame,WRW-2,5708,1,8,-,-,-,-,-,-,-,-,-
JF WRW-2 5709,Edgefield,June Flame,WRW-2,5709,1,9,-,-,-,-,-,-,-,+,+
JF WRW-2 5710,Edgefield,June Flame,WRW-2,5710,1,10,-,-,-,-,-,-,-,-,-
JF WRW-2 5711,Edgefield,June Flame,WRW-2,5711,2,10,-,-,-,-,-,-,-,-,-
JF WRW-2 5712,Edgefield,June Flame,WRW-2,5712,2,9,-,-,-,-,-,-,+,+,+
JF WRW-2 5713,Edgefield,June Flame,WRW-2,5713,2,8,-,-,-,-,-,-,+,+,+
JF WRW-2 5714,Edgefield,June Flame,WRW-2,5714,2,7,-,-,-,-,-,-,-,-,-
JF WRW-2 5715,Edgefield,June Flame,WRW-2,5715,2,6,-,-,-,-,-,-,-,-,-
JF WRW-2 5716,Edgefield,June Flame,WRW-2,5716,2,5,-,-,-,-,-,-,-,-,-
JF WRW-2 5717,Edgefield,June Flame,WRW-2,5717,2,4,-,-,-,-,-,-,-,-,-
JF WRW-2 5718,Edgefield,June Flame,WRW-2,5718,2,3,-,-,-,-,-,-,-,-,-
JF WRW-2 5719,Edgefield,June Flame,WRW-2,5719,2,2,-,-,-,-,-,-,-,-,-
JF WRW-2 5720,Edgefield,June Flame,WRW-2,5720,2,1,-,-,-,-,-,-,-,-,+
JF WRW-2 5721,Edgefield,June Flame,WRW-2,5721,3,1,-,-,-,-,-,-,-,+,-
JF WRW-2 5722,Edgefield,June Flame,WRW-2,5722,3,2,-,-,-,-,-,-,+,+,+
JF WRW-2 5723,Edgefield,June Flame,WRW-2,5723,3,3,-,-,-,-,-,-,-,-,-
JF WRW-2 5724,Edgefield,June Flame,WRW-2,5724,3,4,-,-,-,-,-,-,-,-,-
JF WRW-2 5725,Edgefield,June Flame,WRW-2,5725,3,5,-,-,-,-,-,-,-,-,-
JF WRW-2 5726,Edgefield,June Flame,WRW-2,5726,3,6,-,-,-,-,-,-,-,-,-
JF WRW-2 5727,Edgefield,June Flame,WRW-2,5727,3,7,-,-,-,-,-,-,-,+,-
JF WRW-2 5728,Edgefield,June Flame,WRW-2,5728,3,8,-,-,-,-,-,-,+,+,+
JF WRW-2 5729,Edgefield,June Flame,WRW-2,5729,3,9,-,-,-,-,-,-,-,-,-
JF WRW-2 5730,Edgefield,June Flame,WRW-2,5730,3,10,-,-,-,-,-,-,-,-,-
JF WRW-2 5731,Edgefield,June Flame,WRW-2,5731,4,10,-,-,-,-,-,-,-,-,-
JF WRW-2 5732,Edgefield,June Flame,WRW-2,5732,4,9,-,-,-,-,-,-,-,-,-
