,,,,,,,PDV,PDV,PDV,PNRSV,PNRSV,PNRSV,PLMVd,PLMVd,PLMVd
Sample Name ,Location,Cultivar,Block,Tree Number,Row,Tree,Y1,Y2,Y3,Y1,Y2,Y3,Y1,Y2,Y3
BP B3-2 7070,Edgefield,Blazeprince,B3-2,7070,2,1,-,-,-,-,-,-,-,-,-
BP B3-2 7071,Edgefield,Blazeprince,B3-2,7071,3,1,-,-,-,-,-,-,-,-,-
BP B3-2 7072,Edgefield,Blazeprince,B3-2,7072,3,2,-,-,-,-,-,-,-,-,-
BP B3-2 7073,Edgefield,Blazeprince,B3-2,7073,3,3,-,-,-,-,-,-,-,-,-
BP B3-2 7074,Edgefield,Blazeprince,B3-2,7074,3,4,-,-,-,-,-,-,-,-,-
BP B3-2 7075,Edgefield,Blazeprince,B3-2,7075,3,5,-,-,-,-,-,-,-,-,-
BP B3-2 7076,Edgefield,Blazeprince,B3-2,7076,3,6,-,-,-,-,-,-,-,-,-
BP B3-2 7077,Edgefield,Blazeprince,B3-2,7077,3,7,-,-,-,-,-,-,-,-,-
BP B3-2 7078,Edgefield,Blazeprince,B3-2,7078,3,8,-,-,-,-,-,-,-,-,-
BP B3-2 7079,Edgefield,Blazeprince,B3-2,7079,3,9,-,-,-,-,-,-,-,-,-
BP B3-2 7080,Edgefield,Blazeprince,B3-2,7080,3,10,-,-,-,-,-,-,-,-,-
BP B3-2 7081,Edgefield,Blazeprince,B3-2,7081,4,10,-,-,-,-,-,-,-,-,-
BP B3-2 7082,Edgefield,Blazeprince,B3-2,7082,4,9,-,-,-,-,-,-,-,-,-
BP B3-2 7083,Edgefield,Blazeprince,B3-2,7083,4,8,-,-,-,-,-,-,-,-,-
BP B3-2 7084,Edgefield,Blazeprince,B3-2,7084,4,7,-,-,-,-,-,-,-,-,-
BP B3-2 7085,Edgefield,Blazeprince,B3-2,7085,4,6,-,-,-,-,-,-,-,-,-
BP B3-2 7086,Edgefield,Blazeprince,B3-2,7086,4,5,-,-,-,-,-,-,-,-,-
BP B3-2 7087,Edgefield,Blazeprince,B3-2,7087,4,4,-,-,-,-,-,-,-,-,-
BP B3-2 7089,Edgefield,Blazeprince,B3-2,7089,4,2,-,-,-,-,-,-,-,-,-
BP B3-2 7091,Edgefield,Blazeprince,B3-2,7091,5,1,-,-,-,-,-,-,-,-,-
BP B3-2 7092,Edgefield,Blazeprince,B3-2,7092,5,2,-,-,-,-,-,-,-,-,-
BP B3-2 7093,Edgefield,Blazeprince,B3-2,7093,5,3,-,-,-,-,-,-,-,-,-
BP B3-2 7094,Edgefield,Blazeprince,B3-2,7094,5,4,-,-,-,-,-,-,-,-,-
BP B3-2 7095,Edgefield,Blazeprince,B3-2,7095,5,5,-,-,-,-,-,-,-,-,-
BP B3-2 7096,Edgefield,Blazeprince,B3-2,7096,5,6,-,-,-,-,-,-,-,-,-
BP B3-2 7097,Edgefield,Blazeprince,B3-2,7097,5,7,-,-,-,-,-,-,-,-,-
BP B3-2 7098,Edgefield,Blazeprince,B3-2,7098,5,8,-,-,-,-,-,-,-,-,-
BP B3-2 7099,Edgefield,Blazeprince,B3-2,7099,5,9,-,-,-,-,-,-,-,-,-
CK-WHM5 502,Edgefield,Caroking,WHM5,502,1,3,-,-,-,-,-,-,-,-,-
CK-WHM5 504,Edgefield,Caroking,WHM5,504,1,5,-,-,-,-,-,-,-,-,-
CK-WHM5 507,Edgefield,Caroking,WHM5,507,1,8,-,-,-,-,-,-,-,-,-
CK-WHM5 510,Edgefield,Caroking,WHM5,510,1,10,-,-,-,-,-,-,-,-,-
CK-WHM5 514,Edgefield,Caroking,WHM5,514,2,6,-,-,-,-,-,-,-,-,-
CK-WHM5 516,Edgefield,Caroking,WHM5,516,2,4,-,-,-,-,-,-,-,-,-
CK-WHM5 518,Edgefield,Caroking,WHM5,518,2,2,-,-,-,-,-,-,-,-,-
CK-WHM5 519,Edgefield,Caroking,WHM5,519,2,1,-,-,-,-,-,-,-,-,-
CK-WHM5 520,Edgefield,Caroking,WHM5,520,2,1,-,-,-,-,-,-,-,-,-
CK-WHM5 521,Edgefield,Caroking,WHM5,521,3,2,-,-,-,-,-,-,-,-,-
CK-WHM5 522,Edgefield,Caroking,WHM5,522,3,3,-,-,-,-,-,-,-,-,-
CK-WHM5 523,Edgefield,Caroking,WHM5,523,3,4,-,-,-,-,-,-,-,-,-
CK-WHM5 524,Edgefield,Caroking,WHM5,524,3,5,-,-,-,-,-,-,-,-,-
